GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Average family size -- - Total:,Average family size -- - Total: - Under 18 years,Average family size -- - Total: - 18 years and over
1000000US120890501011000,120890501011000,"Block 1000, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011001,120890501011001,"Block 1001, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.00,0.00,2.00
1000000US120890501011002,120890501011002,"Block 1002, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011003,120890501011003,"Block 1003, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011004,120890501011004,"Block 1004, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.41,0.47,1.94
1000000US120890501011005,120890501011005,"Block 1005, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011006,120890501011006,"Block 1006, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.66,0.59,2.07
1000000US120890501011007,120890501011007,"Block 1007, Block Group 1, Census Tract 501.01, Nassau County, Florida",3.00,0.67,2.33
1000000US120890501011008,120890501011008,"Block 1008, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.44,0.50,1.94
1000000US120890501011009,120890501011009,"Block 1009, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.50,0.46,2.04
1000000US120890501011010,120890501011010,"Block 1010, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011011,120890501011011,"Block 1011, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.85,0.95,1.90
1000000US120890501011012,120890501011012,"Block 1012, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.78,0.78,2.00
1000000US120890501011013,120890501011013,"Block 1013, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011014,120890501011014,"Block 1014, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.71,0.45,2.26
1000000US120890501011015,120890501011015,"Block 1015, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.23,0.31,1.92
1000000US120890501011016,120890501011016,"Block 1016, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011017,120890501011017,"Block 1017, Block Group 1, Census Tract 501.01, Nassau County, Florida",0.00,0.00,0.00
1000000US120890501011018,120890501011018,"Block 1018, Block Group 1, Census Tract 501.01, Nassau County, Florida",2.36,0.24,2.12
