GEO.id,GEO.id2,GEO.display-label,D001,D002,D003
Id,Id2,Geography,Total:,Allocated,Not allocated
1000000US121050103001000,121050103001000,"Block 1000, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001001,121050103001001,"Block 1001, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001002,121050103001002,"Block 1002, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001003,121050103001003,"Block 1003, Block Group 1, Census Tract 103, Polk County, Florida",25,5,20
1000000US121050103001004,121050103001004,"Block 1004, Block Group 1, Census Tract 103, Polk County, Florida",36,0,36
1000000US121050103001005,121050103001005,"Block 1005, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001006,121050103001006,"Block 1006, Block Group 1, Census Tract 103, Polk County, Florida",41,5,36
1000000US121050103001007,121050103001007,"Block 1007, Block Group 1, Census Tract 103, Polk County, Florida",18,0,18
1000000US121050103001008,121050103001008,"Block 1008, Block Group 1, Census Tract 103, Polk County, Florida",42,4,38
1000000US121050103001009,121050103001009,"Block 1009, Block Group 1, Census Tract 103, Polk County, Florida",115,3,112
1000000US121050103001010,121050103001010,"Block 1010, Block Group 1, Census Tract 103, Polk County, Florida",81,2,79
1000000US121050103001011,121050103001011,"Block 1011, Block Group 1, Census Tract 103, Polk County, Florida",2,0,2
1000000US121050103001012,121050103001012,"Block 1012, Block Group 1, Census Tract 103, Polk County, Florida",62,3,59
1000000US121050103001013,121050103001013,"Block 1013, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001014,121050103001014,"Block 1014, Block Group 1, Census Tract 103, Polk County, Florida",56,0,56
1000000US121050103001015,121050103001015,"Block 1015, Block Group 1, Census Tract 103, Polk County, Florida",74,9,65
1000000US121050103001016,121050103001016,"Block 1016, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001017,121050103001017,"Block 1017, Block Group 1, Census Tract 103, Polk County, Florida",32,3,29
1000000US121050103001018,121050103001018,"Block 1018, Block Group 1, Census Tract 103, Polk County, Florida",27,0,27
1000000US121050103001019,121050103001019,"Block 1019, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001020,121050103001020,"Block 1020, Block Group 1, Census Tract 103, Polk County, Florida",1,0,1
1000000US121050103001021,121050103001021,"Block 1021, Block Group 1, Census Tract 103, Polk County, Florida",37,2,35
1000000US121050103001022,121050103001022,"Block 1022, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001023,121050103001023,"Block 1023, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001024,121050103001024,"Block 1024, Block Group 1, Census Tract 103, Polk County, Florida",0,0,0
1000000US121050103001025,121050103001025,"Block 1025, Block Group 1, Census Tract 103, Polk County, Florida",46,4,42
